"","precision","recall","fmeasure","num_annotations","num_voters","num_workers","dist","dist_cluster"
"108",0.740157480314961,0.671428571428571,0.704119850187266,127,1,2,0.01,0.003
"109",0.655172413793103,0.814285714285714,0.726114649681529,174,1,2,0.01,0.003
"110",0.835294117647059,0.507142857142857,0.631111111111111,85,1,2,0.01,0.003
"111",0.722972972972973,0.764285714285714,0.743055555555556,148,1,2,0.01,0.003
"112",0.857142857142857,0.257142857142857,0.395604395604396,42,1,2,0.01,0.003
"113",0.568075117370892,0.864285714285714,0.685552407932011,213,1,2,0.01,0.003
"114",0.380239520958084,0.907142857142857,0.535864978902954,334,1,2,0.01,0.003
"115",0.74468085106383,0.25,0.374331550802139,47,1,2,0.01,0.003
"116",0.563106796116505,0.828571428571429,0.670520231213873,206,1,2,0.01,0.003
"117",0.818181818181818,0.192857142857143,0.312138728323699,33,1,2,0.01,0.003
"118",0.824074074074074,0.635714285714286,0.717741935483871,108,1,2,0.01,0.003
"119",0.831683168316832,0.6,0.697095435684647,101,1,2,0.01,0.003
"120",0.670391061452514,0.857142857142857,0.752351097178683,179,1,2,0.01,0.003
"121",0.680672268907563,0.578571428571429,0.625482625482626,119,1,2,0.01,0.003
"122",0.61244019138756,0.914285714285714,0.73352435530086,209,1,2,0.01,0.003
"123",0.761061946902655,0.614285714285714,0.679841897233202,113,1,2,0.01,0.003
"124",0.869565217391304,0.285714285714286,0.430107526881720,46,1,2,0.01,0.003
"125",0.717391304347826,0.707142857142857,0.712230215827338,138,1,2,0.01,0.003
"126",0.701986754966887,0.757142857142857,0.72852233676976,151,1,2,0.01,0.003
"127",0.75187969924812,0.714285714285714,0.732600732600733,133,1,2,0.01,0.003
"128",0.85,0.364285714285714,0.51,60,1,2,0.01,0.003
"129",0.814432989690722,0.564285714285714,0.666666666666667,97,1,2,0.01,0.003
"130",0.678832116788321,0.664285714285714,0.671480144404332,137,1,2,0.01,0.003
"131",0.776785714285714,0.621428571428571,0.69047619047619,112,1,2,0.01,0.003
"132",0.696296296296296,0.671428571428571,0.683636363636364,135,1,2,0.01,0.003
"133",0.705426356589147,0.65,0.676579925650558,129,1,2,0.01,0.003
"134",0.967741935483871,0.214285714285714,0.350877192982456,31,1,2,0.01,0.003
"135",0.864583333333333,0.592857142857143,0.703389830508474,96,1,2,0.01,0.003
"136",0.728070175438597,0.592857142857143,0.653543307086614,114,1,2,0.01,0.003
"137",0.779661016949153,0.657142857142857,0.713178294573643,118,1,2,0.01,0.003
"138",0.710843373493976,0.842857142857143,0.77124183006536,166,1,2,0.01,0.003
"139",0.686567164179104,0.657142857142857,0.671532846715328,134,1,2,0.01,0.003
"140",0.65,0.835714285714286,0.73125,180,1,2,0.01,0.003
"141",0.797619047619048,0.478571428571429,0.598214285714286,84,1,2,0.01,0.003
"142",0.826086956521739,0.542857142857143,0.655172413793103,92,1,2,0.01,0.003
"143",0.692307692307692,0.835714285714286,0.757281553398058,169,1,2,0.01,0.003
"144",0.564102564102564,0.785714285714286,0.656716417910448,195,1,2,0.01,0.003
"145",0.791208791208791,0.514285714285714,0.623376623376623,91,1,2,0.01,0.003
"146",0.723076923076923,0.671428571428571,0.696296296296296,130,1,2,0.01,0.003
"147",0.591346153846154,0.878571428571429,0.706896551724138,208,1,2,0.01,0.003
"148",0.558558558558559,0.885714285714286,0.685082872928177,222,1,2,0.01,0.003
"149",0.764705882352941,0.185714285714286,0.298850574712644,34,1,2,0.01,0.003
"150",0.78095238095238,0.585714285714286,0.669387755102041,105,1,2,0.01,0.003
"151",0.784313725490196,0.571428571428571,0.661157024793388,102,1,2,0.01,0.003
"152",0.545454545454545,0.9,0.679245283018868,231,1,2,0.01,0.003
"153",0.833333333333333,0.25,0.384615384615385,42,1,2,0.01,0.003
"154",0.573684210526316,0.778571428571429,0.66060606060606,190,1,2,0.01,0.003
"155",0.878787878787879,0.414285714285714,0.563106796116505,66,1,2,0.01,0.003
"156",0.51417004048583,0.907142857142857,0.656330749354005,247,1,2,0.01,0.003
"157",0.577464788732394,0.878571428571429,0.696883852691218,213,1,2,0.01,0.003
"158",0.650887573964497,0.785714285714286,0.711974110032362,169,1,2,0.01,0.003
"159",0.836538461538462,0.621428571428571,0.71311475409836,104,1,2,0.01,0.003
"160",0.577777777777778,0.742857142857143,0.65,180,1,2,0.01,0.003
"161",0.786407766990291,0.578571428571429,0.666666666666667,103,1,2,0.01,0.003
"162",1,0.135714285714286,0.238993710691824,19,1,2,0.01,0.003
"163",0.888888888888889,0.285714285714286,0.432432432432432,45,1,2,0.01,0.003
"164",0.73972602739726,0.771428571428571,0.755244755244755,146,1,2,0.01,0.003
"165",0.631578947368421,0.0857142857142857,0.150943396226415,19,1,2,0.01,0.003
"166",0.666666666666667,0.557142857142857,0.607003891050584,117,1,2,0.01,0.003
"167",0.624390243902439,0.914285714285714,0.742028985507246,205,1,2,0.01,0.003
"168",0.748201438848921,0.742857142857143,0.745519713261649,139,1,2,0.01,0.003
"169",0.772357723577236,0.678571428571429,0.722433460076046,123,1,2,0.01,0.003
"170",0.580952380952381,0.871428571428571,0.697142857142857,210,1,2,0.01,0.003
"171",0.563981042654028,0.85,0.678062678062678,211,1,2,0.01,0.003
"172",0.9,0.128571428571429,0.225,20,1,2,0.01,0.003
"173",0.545045045045045,0.864285714285714,0.668508287292818,222,1,2,0.01,0.003
"174",0.516260162601626,0.907142857142857,0.658031088082902,246,1,2,0.01,0.003
"175",0.664772727272727,0.835714285714286,0.740506329113924,176,1,2,0.01,0.003
"176",0.534188034188034,0.892857142857143,0.668449197860963,234,1,2,0.01,0.003
"177",0.559633027522936,0.871428571428571,0.681564245810056,218,1,2,0.01,0.003
"178",0.740157480314961,0.671428571428571,0.704119850187266,127,1,2,0.01,0.003
"179",0.884615384615385,0.492857142857143,0.63302752293578,78,1,2,0.01,0.003
"180",0.705882352941177,0.771428571428571,0.737201365187713,153,1,2,0.01,0.003
"181",0.666666666666667,0.842857142857143,0.744479495268139,177,1,2,0.01,0.003
"182",0.772277227722772,0.557142857142857,0.647302904564315,101,1,2,0.01,0.003
"183",0.646153846153846,0.6,0.622222222222222,130,1,2,0.01,0.003
"184",0.557692307692308,0.828571428571429,0.666666666666667,208,1,2,0.01,0.003
"185",1,0.142857142857143,0.25,20,1,2,0.01,0.003
"186",0.860215053763441,0.571428571428571,0.686695278969957,93,1,2,0.01,0.003
"187",0.93939393939394,0.221428571428571,0.358381502890173,33,1,2,0.01,0.003
"188",0.844444444444444,0.542857142857143,0.660869565217391,90,1,2,0.01,0.003
"189",0.717105263157895,0.778571428571429,0.746575342465754,152,1,2,0.01,0.003
"190",0.57286432160804,0.814285714285714,0.672566371681416,199,1,2,0.01,0.003
"191",0.585365853658537,0.857142857142857,0.695652173913043,205,1,2,0.01,0.003
"192",0.77536231884058,0.764285714285714,0.76978417266187,138,1,2,0.01,0.003
"193",0.59375,0.814285714285714,0.686746987951807,192,1,2,0.01,0.003
"194",1,0.328571428571429,0.494623655913978,46,1,2,0.01,0.003
"195",0.631578947368421,0.0857142857142857,0.150943396226415,19,1,2,0.01,0.003
"196",0.678787878787879,0.8,0.734426229508197,165,1,2,0.01,0.003
"197",0.941176470588235,0.114285714285714,0.203821656050955,17,1,2,0.01,0.003
"198",0.65680473372781,0.792857142857143,0.718446601941748,169,1,2,0.01,0.003
"199",0.694029850746269,0.664285714285714,0.678832116788321,134,1,2,0.01,0.003
"200",0.878048780487805,0.257142857142857,0.397790055248619,41,1,2,0.01,0.003
"201",0.846153846153846,0.157142857142857,0.265060240963855,26,1,2,0.01,0.003
"202",0.735537190082645,0.635714285714286,0.681992337164751,121,1,2,0.01,0.003
"203",0.868852459016393,0.378571428571429,0.527363184079602,61,1,2,0.01,0.003
"204",0.640883977900553,0.828571428571429,0.722741433021807,181,1,2,0.01,0.003
"205",0.732824427480916,0.685714285714286,0.708487084870849,131,1,2,0.01,0.003
"206",0.618279569892473,0.821428571428571,0.705521472392638,186,1,2,0.01,0.003
"207",0.688888888888889,0.664285714285714,0.676363636363636,135,1,2,0.01,0.003
"208",0.666666666666667,0.857142857142857,0.75,180,1,2,0.01,0.003
"209",0.532786885245902,0.928571428571429,0.677083333333333,244,1,2,0.01,0.003
"210",0.587628865979381,0.814285714285714,0.682634730538922,194,1,2,0.01,0.003
"211",0.888888888888889,0.0571428571428571,0.107382550335570,9,1,2,0.01,0.003
"212",0.532467532467532,0.878571428571429,0.663072776280323,231,1,2,0.01,0.003
"213",0.714285714285714,0.0357142857142857,0.0680272108843537,7,1,2,0.01,0.003
"214",0.733333333333333,0.0785714285714286,0.141935483870968,15,1,2,0.01,0.003
"215",0.829545454545455,0.521428571428571,0.640350877192983,88,1,2,0.01,0.003
"216",0.58252427184466,0.857142857142857,0.69364161849711,206,1,2,0.01,0.003
"217",0.64804469273743,0.828571428571429,0.727272727272727,179,1,2,0.01,0.003
"218",0.857142857142857,0.342857142857143,0.489795918367347,56,1,2,0.01,0.003
"219",0.793103448275862,0.657142857142857,0.71875,116,1,2,0.01,0.003
"220",0.793103448275862,0.164285714285714,0.272189349112426,29,1,2,0.01,0.003
"221",0.952380952380952,0.142857142857143,0.248447204968944,21,1,2,0.01,0.003
"222",0.674285714285714,0.842857142857143,0.74920634920635,175,1,2,0.01,0.003
"223",0.52863436123348,0.857142857142857,0.653950953678474,227,1,2,0.01,0.003
