"","workerID","cluster","lon","lat"
"1251",1,15,-72.3424126177215,18.5541046320742
"1261",1,16,-72.3430483012581,18.5541459525274
"1271",1,17,-72.3428270190144,18.5541211602569
"1281",1,18,-72.3423837839746,18.5536164426201
"1291",1,19,-72.3433400161219,18.5531865491563
"1301",1,20,-72.3428008674765,18.5537709179358
"131",1,21,-72.3428692638063,18.5538357593870
"1321",1,22,-72.343317863264,18.5538563136939
"1331",1,23,-72.3433420031452,18.5535884717657
"134",1,24,-72.3442799479199,18.5538065171669
"135",1,25,-72.3434799790812,18.5537604288712
"1361",1,26,-72.3435182005597,18.5536113570113
"137",1,27,-72.344312134428,18.5533106700777
"138",1,28,-72.344309452219,18.5531905222975
"139",1,29,-72.3438380539847,18.5532280287581
"1401",1,30,-72.34350344841,18.5531917937034
