"","precision","recall","fmeasure","nb_obs","num_voters","num_workers","ratio"
"9964",1,0.0315789473684211,0.0612244897959184,6,8,9,"(0.8,1]"
"9965",1,0.0368421052631579,0.0710659898477157,7,8,9,"(0.8,1]"
"9966",1,0.0210526315789474,0.0412371134020619,4,8,9,"(0.8,1]"
"9967",1,0.0473684210526316,0.0904522613065327,9,8,9,"(0.8,1]"
"9968",1,0.0105263157894737,0.0208333333333333,2,8,9,"(0.8,1]"
"9969",0.857142857142857,0.0315789473684211,0.0609137055837563,7,8,9,"(0.8,1]"
"9970",0.909090909090909,0.0526315789473684,0.099502487562189,11,8,9,"(0.8,1]"
"9971",0.8,0.0210526315789474,0.041025641025641,5,8,9,"(0.8,1]"
"9972",0.857142857142857,0.0315789473684211,0.0609137055837563,7,8,9,"(0.8,1]"
"9973",1,0.0157894736842105,0.0310880829015544,3,8,9,"(0.8,1]"
"9974",1,0.0105263157894737,0.0208333333333333,2,8,9,"(0.8,1]"
"9975",1,0,0,0,8,9,"(0.8,1]"
"9976",1,0.0368421052631579,0.0710659898477157,7,8,9,"(0.8,1]"
"9977",1,0.0263157894736842,0.0512820512820513,5,8,9,"(0.8,1]"
"9978",1,0,0,0,8,9,"(0.8,1]"
"9979",0.833333333333333,0.0263157894736842,0.0510204081632653,6,8,9,"(0.8,1]"
"9980",1,0.0105263157894737,0.0208333333333333,2,8,9,"(0.8,1]"
"9981",1,0.0421052631578947,0.0808080808080808,8,8,9,"(0.8,1]"
"9982",1,0.0157894736842105,0.0310880829015544,3,8,9,"(0.8,1]"
"9983",1,0.0315789473684211,0.0612244897959184,6,8,9,"(0.8,1]"
"9984",1,0.0263157894736842,0.0512820512820513,5,8,9,"(0.8,1]"
"9985",0.833333333333333,0.0263157894736842,0.0510204081632653,6,8,9,"(0.8,1]"
"9986",1,0.0473684210526316,0.0904522613065327,9,8,9,"(0.8,1]"
"9987",1,0.00526315789473684,0.0104712041884817,1,8,9,"(0.8,1]"
"9988",1,0.0263157894736842,0.0512820512820513,5,8,9,"(0.8,1]"
"9989",0.75,0.0473684210526316,0.0891089108910891,12,8,9,"(0.8,1]"
"9990",1,0.0105263157894737,0.0208333333333333,2,8,9,"(0.8,1]"
"9991",1,0.0105263157894737,0.0208333333333333,2,8,9,"(0.8,1]"
"9992",1,0.0368421052631579,0.0710659898477157,7,8,9,"(0.8,1]"
"9993",1,0.0105263157894737,0.0208333333333333,2,8,9,"(0.8,1]"
"9994",1,0.0105263157894737,0.0208333333333333,2,8,9,"(0.8,1]"
"9995",1,0,0,1,8,9,"(0.8,1]"
"9996",1,0.0263157894736842,0.0512820512820513,5,8,9,"(0.8,1]"
"9997",1,0.0473684210526316,0.0904522613065327,9,8,9,"(0.8,1]"
"9998",0.833333333333333,0.0263157894736842,0.0510204081632653,6,8,9,"(0.8,1]"
"9999",0.833333333333333,0.0263157894736842,0.0510204081632653,6,8,9,"(0.8,1]"
"10000",1,0.00526315789473684,0.0104712041884817,1,8,9,"(0.8,1]"
"10001",1,0.0210526315789474,0.0412371134020619,4,7,9,"(0.6,0.8]"
"10002",0.909090909090909,0.0526315789473684,0.099502487562189,11,7,9,"(0.6,0.8]"
