lon,lat,status,iteration,instance,assignID,parentID
-72.3439441590691,18.5532604495897,4,1,120,243,
-72.3438717394257,18.5533214770194,4,1,120,243,
-72.3438113897228,18.5532095933817,4,1,120,243,
-72.3438677161121,18.5532426499187,4,1,120,243,
-72.3438999026203,18.5531816224609,4,1,120,243,
-72.3435391455078,18.5531930651109,4,1,120,243,
-72.3439441590691,18.5532604495897,1,2,120,247,243
-72.3435973257256,18.5546684964772,2,2,120,247,243
-72.3436026901436,18.5547638510399,2,2,120,247,243
-72.3435812324715,18.55480199285,2,2,120,247,243
-72.343577209158,18.5548375918652,2,2,120,247,243
-72.3435865968895,18.5549113326585,2,2,120,247,243
-72.3439084619713,18.5548108926045,2,2,120,247,243
-72.3439755171967,18.5547752935838,3,2,120,247,243
-72.343939307375,18.5549227751926,3,2,120,247,243
-72.3440117270184,18.5548617483355,3,2,120,247,243
-72.3438051969242,18.5548414060449,3,2,120,247,243
-72.3437770337296,18.5549304035482,4,2,120,247,243
-72.3441042632294,18.5545426283729,2,2,120,247,243
-72.3439942926599,18.5545057579006,2,2,120,247,243
-72.3439781994057,18.5545044865049,3,2,120,247,243
-72.3438977331352,18.5544510878752,2,2,120,247,243
-72.3437663048935,18.5544294741394,2,2,120,247,243
-72.343593302412,18.5543748040895,4,2,120,247,243
-72.3436496288014,18.554173923291,2,2,120,247,243
-72.3440841466618,18.5544650732322,2,2,120,247,243
-72.3440908521843,18.5544040462114,2,2,120,247,243
-72.3440197736454,18.5543887894528,2,2,120,247,243
-72.3440921932888,18.5543137770365,2,2,120,247,243
-72.344121697588,18.5542209650182,2,2,120,247,243
-72.3441230386925,18.5541141675647,2,2,120,247,243
-72.3438400656414,18.5541548523168,2,2,120,247,243
-72.3438279957008,18.5544409167057,3,2,120,247,243
-72.3437180251312,18.5544231171578,3,2,120,247,243
-72.343846771164,18.5543684471059,3,2,120,247,243
-72.3439071208668,18.5543188626251,4,2,120,247,243
-72.3433747023773,18.5546316260321,2,2,120,247,243
-72.3433787256909,18.5547282520094,2,2,120,247,243
-72.3443129628087,18.5533685189815,2,2,120,247,243
-72.3441962867165,18.5533964898717,3,2,120,247,243
-72.3441439836406,18.5533469051086,2,2,120,247,243
-72.3440219431304,18.5533138485919,2,2,120,247,243
-72.3438113897228,18.5532095933817,3,2,120,247,243
-72.3438999026203,18.5531816224609,2,2,120,247,243
-72.3440407185936,18.5532909633073,3,2,120,247,243
-72.3443169861221,18.5533443622998,3,2,120,247,243
-72.3442780940914,18.5532668066147,2,2,120,247,243
-72.3443330793762,18.5532210360298,2,2,120,247,243
-72.3438623516942,18.5532807920687,2,2,120,247,243
-72.3438677161121,18.5532426499187,3,2,120,247,243
-72.3441117971325,18.5540296478884,3,2,120,247,243
-72.3441238670731,18.5539838775082,2,2,120,247,243
-72.3440889983559,18.5538363950882,2,2,120,247,243
-72.3435391455078,18.5531930651109,2,2,120,247,243
-72.3439092903519,18.5539622637132,2,2,120,247,243
-72.3437175124073,18.5539266645155,2,2,120,247,243
-72.3437081246757,18.5538389378896,2,2,120,247,243
-72.3442780940914,18.553711797772,2,2,120,247,243
-72.3442767529869,18.5537779106449,2,2,120,247,243
-72.3442445664787,18.5538274952829,2,2,120,247,243
-72.3442324965382,18.5538770799064,2,2,120,247,243
-72.3442257910156,18.5536227996333,2,2,120,247,243
-72.3441305725956,18.5535948287802,3,2,120,247,243
-72.3440702228928,18.5535910145725,2,2,120,247,243
-72.3439025848293,18.5535668579224,2,2,120,247,243
-72.3437765210056,18.5537613824291,2,2,120,247,243
-72.3438274829769,18.5537779106449,3,2,120,247,243
-72.3437979786778,18.5536952695498,2,2,120,247,243
-72.3439173369789,18.553893608111,3,2,120,247,243
-72.3440863161468,18.5537410400074,2,2,120,247,243
-72.3434144227886,18.5538783513068,2,2,120,247,243
-72.3435485332394,18.5534816739183,2,2,120,247,243
-72.3434278338337,18.553453703042,2,2,120,247,243
-72.3434171049976,18.5535236302242,2,2,120,247,243
-72.3433634608173,18.5534765883048,2,2,120,247,243
-72.3435123234177,18.5536405992648,2,2,120,247,243
-72.3435150056267,18.5535935573776,2,2,120,247,243
-72.3433634608173,18.5537168833785,2,2,120,247,243
-72.3434184461021,18.5538287666836,2,2,120,247,243
-72.3434707491779,18.553789353255,2,2,120,247,243
-72.3435217111492,18.5537524826199,2,2,120,247,243
-72.3434533148193,18.5537270545911,2,2,120,247,243
-72.3434975712681,18.5536914553444,2,2,120,247,243
-72.3433741896534,18.5535706721306,3,2,120,247,243
-72.3433741896534,18.5535910145725,2,2,120,247,243
-72.3430729538632,18.5549660025365,2,2,120,247,243
-72.3430313796234,18.5549291321557,2,2,120,247,243
-72.3429750532341,18.5549558313978,2,2,120,247,243
-72.3428489894105,18.5549049756949,2,2,120,247,243
-72.3428087562752,18.5549227751926,3,2,120,247,243
