"","precision","recall","fmeasure","num_annotations","num_voters","num_workers","dist","dist_cluster"
"32",0.964539007092199,0.743169398907104,0.839506172839506,141,1,1,0.01,0.01
"33",0.978571428571429,0.748633879781421,0.848297213622291,140,1,1,0.01,0.01
"34",0.962732919254658,0.846994535519126,0.901162790697674,161,1,1,0.01,0.01
"35",1,0.131147540983607,0.231884057971015,24,1,1,0.01,0.01
"36",0.962406015037594,0.699453551912568,0.810126582278481,133,1,1,0.01,0.01
"37",0.8,0.0218579234972678,0.0425531914893617,5,1,1,0.01,0.01
"38",0.93918918918919,0.759562841530055,0.83987915407855,148,1,1,0.01,0.01
"39",0.9625,0.841530054644809,0.89795918367347,160,1,1,0.01,0.01
"40",0.978723404255319,0.754098360655738,0.851851851851852,141,1,1,0.01,0.01
"41",1,0.213114754098361,0.351351351351351,39,1,1,0.01,0.01
"42",0.963414634146341,0.863387978142076,0.910662824207493,164,1,1,0.01,0.01
"43",0.9375,0.901639344262295,0.919220055710307,176,1,1,0.01,0.01
"44",0.945945945945946,0.765027322404372,0.845921450151057,148,1,1,0.01,0.01
"45",0.937931034482759,0.743169398907104,0.829268292682927,145,1,2,0.01,0.01
"46",0.993243243243243,0.80327868852459,0.88821752265861,148,1,2,0.01,0.01
"47",0.983333333333333,0.644808743169399,0.778877887788779,120,1,2,0.01,0.01
"48",0.605263157894737,0.125683060109290,0.208144796380091,38,1,2,0.01,0.01
"49",0.930769230769231,0.66120218579235,0.773162939297125,130,1,2,0.01,0.01
"50",0.93798449612403,0.66120218579235,0.775641025641026,129,1,2,0.01,0.01
"51",0.970149253731343,0.710382513661202,0.82018927444795,134,1,2,0.01,0.01
"52",0.977941176470588,0.726775956284153,0.83385579937304,136,1,2,0.01,0.01
"53",0.955882352941177,0.710382513661202,0.815047021943574,136,1,2,0.01,0.01
"54",0.992481203007519,0.721311475409836,0.835443037974683,133,1,2,0.01,0.01
"55",0.544354838709677,0.737704918032787,0.62645011600928,248,1,2,0.01,0.01
"56",0.98051948051948,0.825136612021858,0.896142433234421,154,1,2,0.01,0.01
"57",0.979310344827586,0.775956284153005,0.865853658536585,145,1,2,0.01,0.01
"58",0.97986577181208,0.797814207650273,0.879518072289157,149,1,2,0.01,0.01
"59",0.96551724137931,0.765027322404372,0.853658536585366,145,1,2,0.01,0.01
"60",0.952702702702703,0.770491803278688,0.851963746223565,148,1,2,0.01,0.01
"61",0.96875,0.6775956284153,0.797427652733119,128,1,2,0.01,0.01
"62",0.55952380952381,0.256830601092896,0.352059925093633,84,1,2,0.01,0.01
"63",0.986754966887417,0.814207650273224,0.892215568862275,151,1,2,0.01,0.01
"64",0.949044585987261,0.814207650273224,0.876470588235294,157,1,2,0.01,0.01
"65",0.888888888888889,0.0437158469945355,0.0833333333333333,9,1,2,0.01,0.01
"66",0.984375,0.688524590163934,0.810289389067524,128,1,2,0.01,0.01
"67",0.971830985915493,0.754098360655738,0.849230769230769,142,1,2,0.01,0.01
"68",0.984962406015038,0.715846994535519,0.829113924050633,133,1,2,0.01,0.01
"69",0.965034965034965,0.754098360655738,0.846625766871166,143,1,2,0.01,0.01
"70",0.992700729927007,0.743169398907104,0.85,137,1,2,0.01,0.01
"71",0.972413793103448,0.770491803278688,0.859756097560976,145,1,2,0.01,0.01
"72",0.95,0.103825136612022,0.187192118226601,20,1,2,0.01,0.01
"73",0.956204379562044,0.715846994535519,0.81875,137,1,2,0.01,0.01
"74",0.963503649635037,0.721311475409836,0.825,137,1,2,0.01,0.01
"75",0.950617283950617,0.841530054644809,0.892753623188406,162,1,2,0.01,0.01
"76",0.541095890410959,0.863387978142076,0.665263157894737,292,1,2,0.01,0.01
"77",0.97972972972973,0.792349726775956,0.876132930513595,148,1,2,0.01,0.01
"78",0.963636363636364,0.868852459016393,0.913793103448276,165,1,2,0.01,0.01
"79",0.992537313432836,0.726775956284153,0.839116719242902,134,1,2,0.01,0.01
"80",0.972222222222222,0.765027322404372,0.856269113149847,144,1,2,0.01,0.01
"81",0.992424242424242,0.715846994535519,0.831746031746032,132,1,2,0.01,0.01
"82",0.954887218045113,0.693989071038251,0.80379746835443,133,1,2,0.01,0.01
"83",0.98,0.80327868852459,0.882882882882883,150,1,2,0.01,0.01
"84",0.992248062015504,0.699453551912568,0.82051282051282,129,1,2,0.01,0.01
"85",0.942028985507246,0.710382513661202,0.809968847352025,138,1,2,0.01,0.01
"86",0.992481203007519,0.721311475409836,0.835443037974683,133,1,2,0.01,0.01
"87",0.986928104575163,0.825136612021858,0.898809523809524,153,1,2,0.01,0.01
"88",0.982608695652174,0.617486338797814,0.758389261744966,115,1,2,0.01,0.01
"89",0.979310344827586,0.775956284153005,0.865853658536585,145,1,2,0.01,0.01
"90",0.984375,0.688524590163934,0.810289389067524,128,1,2,0.01,0.01
"91",0.958041958041958,0.748633879781421,0.840490797546012,143,1,2,0.01,0.01
"92",0.962962962962963,0.142076502732240,0.247619047619048,27,1,2,0.01,0.01
