"","X","precision","recall","fmeasure","num_annotations","num_voters","num_workers","dist","dist_cluster"
"9165",9165,0.947368421052632,0.098360655737705,0.178217821782178,19,1,2,0.01,0.007
"9166",9166,0.979591836734694,0.78688524590164,0.872727272727273,147,1,2,0.01,0.007
"9167",9167,0.95266272189349,0.879781420765027,0.914772727272727,169,1,2,0.01,0.007
"9168",9168,0.968553459119497,0.841530054644809,0.900584795321637,159,1,2,0.01,0.007
"9169",9169,0.96951219512195,0.868852459016393,0.9164265129683,164,1,2,0.01,0.007
"9170",9170,0.970588235294118,0.721311475409836,0.827586206896552,136,1,2,0.01,0.007
"9171",9171,0.92982456140351,0.868852459016393,0.898305084745763,171,1,2,0.01,0.007
"9172",9172,0.924657534246575,0.737704918032787,0.820668693009119,146,1,2,0.01,0.007
"9173",9173,0.96319018404908,0.85792349726776,0.907514450867052,163,1,2,0.01,0.007
"9174",9174,0.96951219512195,0.868852459016393,0.9164265129683,164,1,2,0.01,0.007
"9175",9175,0.985714285714286,0.754098360655738,0.854489164086687,140,1,2,0.01,0.007
"9176",9176,0.94871794871795,0.808743169398907,0.87315634218289,156,1,2,0.01,0.007
"9177",9177,0.940119760479042,0.85792349726776,0.897142857142857,167,1,2,0.01,0.007
"9178",9178,0.942857142857143,0.901639344262295,0.921787709497207,175,1,2,0.01,0.007
"9179",9179,0.93167701863354,0.819672131147541,0.872093023255814,161,1,2,0.01,0.007
"9180",9180,0.936416184971098,0.885245901639344,0.910112359550562,173,1,2,0.01,0.007
"9181",9181,0.955696202531646,0.825136612021858,0.885630498533724,158,1,2,0.01,0.007
"9182",9182,0.973856209150327,0.814207650273224,0.886904761904762,153,1,2,0.01,0.007
"9183",9183,0.957575757575758,0.863387978142076,0.908045977011494,165,1,2,0.01,0.007
"9184",9184,0.941176470588235,0.87431693989071,0.906515580736544,170,1,2,0.01,0.007
"9185",9185,0.916201117318436,0.896174863387978,0.906077348066298,179,1,2,0.01,0.007
"9186",9186,0.952380952380952,0.109289617486339,0.196078431372549,21,1,2,0.01,0.007
"9187",9187,0.496774193548387,0.841530054644809,0.62474645030426,310,1,2,0.01,0.007
"9188",9188,0.95364238410596,0.78688524590164,0.862275449101796,151,1,2,0.01,0.007
"9189",9189,0.992700729927007,0.743169398907104,0.85,137,1,2,0.01,0.007
"9190",9190,0.952,0.650273224043716,0.772727272727273,125,1,2,0.01,0.007
"9191",9191,0.92090395480226,0.890710382513661,0.905555555555555,177,1,2,0.01,0.007
"9192",9192,0.970238095238095,0.890710382513661,0.928774928774929,168,1,2,0.01,0.007
"9193",9193,1,0.289617486338798,0.449152542372881,53,1,2,0.01,0.007
"9194",9194,0.948051948051948,0.797814207650273,0.86646884272997,154,1,2,0.01,0.007
"9195",9195,0.935897435897436,0.797814207650273,0.861356932153392,156,1,2,0.01,0.007
"9196",9196,0.985714285714286,0.754098360655738,0.854489164086687,140,1,2,0.01,0.007
"9197",9197,0.964788732394366,0.748633879781421,0.843076923076923,142,1,2,0.01,0.007
"9198",9198,0.948529411764706,0.704918032786885,0.808777429467085,136,1,2,0.01,0.007
"9199",9199,0.517857142857143,0.792349726775956,0.62634989200864,280,1,2,0.01,0.007
"9200",9200,0.94871794871795,0.808743169398907,0.87315634218289,156,1,2,0.01,0.007
"9201",9201,0.974025974025974,0.819672131147541,0.890207715133531,154,1,2,0.01,0.007
"9202",9202,0.96875,0.846994535519126,0.903790087463557,160,1,2,0.01,0.007
"9203",9203,0.958041958041958,0.748633879781421,0.840490797546012,143,1,2,0.01,0.007
"9204",9204,0.927374301675978,0.907103825136612,0.917127071823205,179,1,2,0.01,0.007
