lon,lat,status,iteration,instance,assignID,parentID
-72.2567770013969,18.5565057052957,4,1,117,223,
-72.2568789253395,18.5562793993563,4,1,117,223,
-72.2564014921348,18.5558750992345,4,1,117,223,
-72.2561976442497,18.5558039016296,4,1,117,223,
-72.2563237080734,18.5557454178605,4,1,117,223,
-72.2566321621101,18.5556742202015,4,1,117,223,
-72.2569137940567,18.5558572998361,4,1,117,223,
-72.2562807927292,18.5554682553779,4,1,117,223,
-72.2567206750076,18.55548351204,4,1,117,223,
-72.2553661594551,18.5554809692631,4,1,117,223,
-72.2551113495987,18.5555419958989,4,1,117,223,
-72.2554224858444,18.5557149045817,4,1,117,223,
-72.2550818452995,18.555986981125,4,1,117,223,
-72.2547707090538,18.5558395004358,4,1,117,223,
-72.2555029521149,18.5560912346389,4,1,117,223,
-72.2553902993362,18.5558674709211,4,1,117,223,
-72.2549450526398,18.5569481452543,4,1,117,223,
-72.254996014611,18.5574236397933,4,1,117,223,
-72.2538480111839,18.5565082480574,4,1,117,223,
-72.2541564652207,18.5560607214219,4,1,117,223,
-72.2533920356514,18.5564243369026,4,1,117,223,
-72.2535261461022,18.5565616460435,4,1,117,223,
-72.2537326761963,18.5574897512285,4,1,117,223,
-72.2537863203766,18.5572634465939,4,1,117,223,
-72.2528985091927,18.55733464359,4,1,117,223,
-72.2533276626351,18.5566938695562,4,1,117,223,
-72.253092298794,18.5600481683308,2,2,117,225,223
-72.2530520656588,18.5599413745237,2,2,117,225,223
-72.2538567283632,18.5597201585671,2,2,117,225,223
-72.25381113081,18.5594913141729,2,2,117,225,223
-72.2536931136133,18.5593463792312,2,2,117,225,223
-72.2535348632815,18.559272640354,2,2,117,225,223
-72.2531539896013,18.5594074044848,2,2,117,225,223
-72.2531030276301,18.5593031529967,2,2,117,225,223
-72.2527999380114,18.5596947314279,2,2,117,225,223
-72.2527221539499,18.5595981082623,2,2,117,225,223
-72.2526121833803,18.5594633442818,2,2,117,225,223
-72.2524351575854,18.5593565501087,2,2,117,225,223
-72.2527436116221,18.5590743080436,2,2,117,225,223
-72.2523090937617,18.55904379536,2,2,117,225,223
-72.2519577243807,18.5587513818651,2,2,117,225,223
-72.2540069320681,18.5588098646038,2,2,117,225,223
-72.2541034915926,18.5585733907965,2,2,117,225,223
-72.2540364363672,18.5584869379249,2,2,117,225,223
-72.2539801099779,18.5584081132097,2,2,117,225,223
-72.2538755038264,18.5584894806571,2,2,117,225,223
-72.2537682154658,18.5585555916795,2,2,117,225,223
-72.2536475160601,18.5586191599461,2,2,117,225,223
-72.2531170223081,18.5585331307818,4,2,117,225,223
-72.252370784569,18.5578054843456,2,2,117,225,223
-72.2555673251312,18.559692188712,2,2,117,225,223
-72.2552240023773,18.5599947714339,2,2,117,225,223
-72.2547975311439,18.5599591734945,2,2,117,225,223
-72.2550845275085,18.5597938972498,2,2,117,225,223
-72.2552240023773,18.5595701383866,2,2,117,225,223
-72.2549182305496,18.5595955655449,2,2,117,225,223
-72.2544917593162,18.5596235354147,2,2,117,225,223
-72.2557068,18.5594455452561,2,2,117,225,223
-72.2561681399505,18.5593616355455,2,2,117,225,223
-72.2566536197822,18.5590259962905,2,2,117,225,223
-72.2560098896187,18.559135333393,2,2,117,225,223
-72.2554573545616,18.5592522985879,2,2,117,225,223
-72.2553741881134,18.5591531324497,4,2,117,225,223
-72.255358112828,18.5590997352743,2,2,117,225,223
-72.2551167140167,18.5592217859361,2,2,117,225,223
-72.2547438869636,18.5591785596701,2,2,117,225,223
-72.2549584636848,18.5590234535664,2,2,117,225,223
-72.2545963654678,18.5588530909621,2,2,117,225,223
-72.2544783482712,18.5588912318584,2,2,117,225,223
-72.2556880245369,18.5590412526346,2,2,117,225,223
-72.2560984025162,18.5586903563754,2,2,117,225,223
-72.2561976442497,18.55843354054,2,2,117,225,223
-72.2566509375732,18.5585683053335,2,2,117,225,223
-72.2553822527092,18.5585555916783,2,2,117,225,223
-72.255347383992,18.5583470875976,2,2,117,225,223
-72.2555673251312,18.5583826858733,2,2,117,225,223
-72.2548189888161,18.5584157414084,2,2,117,225,223
-72.2547948489349,18.5580826430313,2,2,117,225,223
-72.2548887262504,18.5579834762132,2,2,117,225,223
-72.2550335655372,18.5581385832622,2,2,117,225,223
-72.2543496022384,18.5581563824227,2,2,117,225,223
-72.2550335655372,18.5577546294902,2,2,117,225,223
-72.2549450526398,18.5575126359502,2,2,117,225,223
-72.254996014611,18.5574236397933,2,2,117,225,223
-72.2555887828033,18.5571286807701,2,2,117,225,223
