"","X","precision","recall","fmeasure","num_annotations","num_voters","num_workers","dist","dist_cluster"
"13831",13831,0.619047619047619,0.062200956937799,0.11304347826087,42,1,2,0.01,0.01
"13832",13832,0.822222222222222,0.5311004784689,0.645348837209302,270,1,2,0.01,0.01
"13833",13833,0.82,0.588516746411483,0.685236768802228,300,1,2,0.01,0.01
"13834",13834,0.805263157894737,0.732057416267943,0.766917293233083,380,1,2,0.01,0.01
"13835",13835,0.956043956043956,0.416267942583732,0.58,182,1,2,0.01,0.01
"13836",13836,0.834239130434783,0.73444976076555,0.78117048346056,368,1,2,0.01,0.01
"13837",13837,0.74468085106383,0.502392344497608,0.6,282,1,2,0.01,0.01
"13838",13838,1,0.0813397129186603,0.150442477876106,34,1,2,0.01,0.01
"13839",13839,0.91869918699187,0.54066985645933,0.680722891566265,246,1,2,0.01,0.01
"13840",13840,0.881944444444444,0.607655502392344,0.719546742209632,288,1,2,0.01,0.01
"13841",13841,0.889312977099237,0.557416267942584,0.685294117647059,262,1,2,0.01,0.01
"13842",13842,0.829351535836177,0.58133971291866,0.683544303797468,293,1,2,0.01,0.01
"13843",13843,0.898026315789474,0.65311004784689,0.75623268698061,304,1,2,0.01,0.01
"13844",13844,0.893687707641196,0.643540669856459,0.74826147426982,301,1,2,0.01,0.01
"13845",13845,0.801556420233463,0.492822966507177,0.61037037037037,257,1,2,0.01,0.01
"13846",13846,0.97159090909091,0.409090909090909,0.575757575757576,176,1,2,0.01,0.01
"13847",13847,0.819004524886878,0.433014354066986,0.566510172143975,221,1,2,0.01,0.01
"13848",13848,0.758974358974359,0.354066985645933,0.482871125611745,195,1,2,0.01,0.01
"13849",13849,0.95774647887324,0.488038277511962,0.646592709984152,213,1,2,0.01,0.01
"13850",13850,0.940677966101695,0.26555023923445,0.414179104477612,118,1,2,0.01,0.01
"13851",13851,0.922413793103448,0.255980861244019,0.400749063670412,116,1,2,0.01,0.01
"13852",13852,0.900763358778626,0.564593301435407,0.694117647058823,262,1,2,0.01,0.01
"13853",13853,0.856716417910448,0.686602870813397,0.762284196547145,335,1,2,0.01,0.01
"13854",13854,0.844594594594595,0.598086124401914,0.700280112044818,296,1,2,0.01,0.01
"13855",13855,0.837209302325581,0.430622009569378,0.56872037914692,215,1,2,0.01,0.01
"13856",13856,0.888235294117647,0.361244019138756,0.513605442176871,170,1,2,0.01,0.01
"13857",13857,0.826747720364742,0.650717703349282,0.728246318607764,329,1,2,0.01,0.01
"13858",13858,0.867132867132867,0.296650717703349,0.442067736185383,143,1,2,0.01,0.01
"13859",13859,0.763959390862944,0.720095693779904,0.741379310344828,394,1,2,0.01,0.01
"13860",13860,0.812785388127854,0.425837320574163,0.558869701726845,219,1,2,0.01,0.01
"13861",13861,0.827089337175792,0.686602870813397,0.750326797385621,347,1,2,0.01,0.01
"13862",13862,0.749244712990937,0.593301435406699,0.662216288384513,331,1,2,0.01,0.01
"13863",13863,0.802281368821293,0.504784688995215,0.619676945668135,263,1,2,0.01,0.01
"13864",13864,0.841121495327103,0.430622009569378,0.569620253164557,214,1,2,0.01,0.01
"13865",13865,0.95505617977528,0.203349282296651,0.335305719921105,89,1,2,0.01,0.01
"13866",13866,0.861940298507463,0.552631578947368,0.673469387755102,268,1,2,0.01,0.01
"13867",13867,0.852631578947368,0.58133971291866,0.691322901849218,285,1,2,0.01,0.01
"13868",13868,0.938775510204082,0.440191387559809,0.599348534201954,196,1,2,0.01,0.01
"13869",13869,0.644808743169399,0.282296650717703,0.392678868552413,183,1,2,0.01,0.01
"13870",13870,0.923076923076923,0.574162679425837,0.707964601769911,260,1,2,0.01,0.01
"13871",13871,0.903846153846154,0.449760765550239,0.600638977635783,208,1,2,0.01,0.01
"13872",13872,0.710097719869707,0.521531100478469,0.601379310344828,307,1,2,0.01,0.01
"13873",13873,0.796875,0.610047846889952,0.691056910569106,320,1,2,0.01,0.01
"13874",13874,0.87936507936508,0.662679425837321,0.755798090040928,315,1,2,0.01,0.01
"13875",13875,0.807894736842105,0.73444976076555,0.769423558897243,380,1,2,0.01,0.01
"13876",13876,0.792349726775956,0.34688995215311,0.482529118136439,183,1,2,0.01,0.01
"13877",13877,0.938775510204082,0.110047846889952,0.197002141327623,49,1,2,0.01,0.01
"13878",13878,0.95,0.0454545454545455,0.08675799086758,20,1,2,0.01,0.01
"13879",13879,0.938144329896907,0.217703349282297,0.353398058252427,97,1,2,0.01,0.01
"13880",13880,0.9,0.0645933014354067,0.120535714285714,30,1,2,0.01,0.01
"13881",13881,0.799065420560748,0.409090909090909,0.541139240506329,214,1,2,0.01,0.01
